"","user_id","username","t_group","location","country","lat","lng","followers_count","friends_count"
"3706",4909263973,"SamuelTheSayer","C","","",0,0,299,310
"3707",4910784440,"froggydo2263","T","","",0,0,12,23
"3708",4911105927,"RzlRaquelzeitun","C","","",0,0,55,23
"3709",4911771461,"garyselby_","C","Alabama, USA","US",32.31823,-86.9023,16,34
"3710",4913697966,"AliceAkens","C","","",0,0,20,90
"3711",4914530955,"marylucy1955","C","","",0,0,14,31
"3712",4916052135,"SharonM92044556","C","","",0,0,9,13
"3713",4916234997,"mydogbiturbutt1","C","","",0,0,29,52
"3714",4918885219,"inittowinit007","C","","",0,0,89,15
"3715",4919539112,"zodzilla93","T","","",0,0,16,31
"3716",4921583236,"GoslarSheri","C","","",0,0,14,60
"3717",4921882320,"SammyJT1980","T","Oklahoma City, OK","US",35.46756,-97.51643,174,466
"3718",4922203006,"HohmanKay","C","","",0,0,19,9
"3719",4924310781,"RenschRochelle","C","","",0,0,2,2
"3720",4924825699,"NocreditLoanUS","C","Delaware, USA","US",38.91083,-75.52767,33,267
"3721",4925055131,"WeDaPeople76","C","United States","US",37.09024,-95.71289,29,58
"3722",4925297555,"DGanhadeiro","T","","",0,0,100,105
"3723",4925814586,"BraveSirCadogan","C","Hogwarts ","JP",34.47304,132.48065,119,517
"3724",4925904413,"msz2k","C","","",0,0,87,57
"3725",4926072112,"skylar12g","C","","",0,0,34,46
"3726",4926160313,"Bobbie_001","C","","",0,0,37,72
"3727",4927632735,"Sharingposts","C","","",0,0,33,43
"3728",4927743725,"altmediawales","C","","",0,0,106,194
"3729",4927986136,"QueenCharlotteO","C","United States","US",37.09024,-95.71289,51,162
"3730",4928106232,"STARSKI_AJ7","C","Milky Way Galaxy","US",-29.00781,86.4165,294,627
"3731",4928556071,"ViscontiSteven1","C","Staten Island, NY","US",40.57953,-74.1502,13,21
"3732",694648327439134720,"AuronReborn1","T","Missouri, USA","US",37.96425,-91.83183,7,15
"3733",694737927436259328,"callmepete1","C","Nebraska, USA","US",41.49254,-99.90181,122,74
"3734",695189064279027712,"lndlvry","C","New York, USA","US",40.71278,-74.00594,65,118
"3735",695223651097042944,"LenaKostadimas","C","","",0,0,67,30
"3736",695376216769953792,"TrespassersCafe","T","","",0,0,3,15
"3737",695380917129359360,"iAreLeejun","C","","",0,0,10,27
"3738",697096087551791104,"RealTonya45","T","North Carolina, USA","US",35.75957,-79.0193,17,50
"3739",697284661714800640,"Amy_J_Tharp","C","","",0,0,16,26
"3740",697445994573795328,"Alisto_Clan1","C","London, England","GB",51.50735,-0.12776,11,2
"3741",697612348014600192,"samuellevi955","C","","",0,0,17,18
"3742",698677772965842944,"Heather12191978","T","","",0,0,2,22
